

X [ m ], Y [ m ], Z [ m ]
4.69165941e-04, 6.65360270e-03, -5.22175789e-01
4.35407797e-04, 6.83637196e-03, -5.22393703e-01
5.03211631e-04, 6.79576350e-03, -5.22251606e-01
9.43674881e-04, 7.28345336e-03, -5.22146165e-01
9.98398405e-04, 7.42118619e-03, -5.22196352e-01
8.75428435e-04, 7.35566951e-03, -5.22262990e-01
8.19212117e-04, 7.21620163e-03, -5.22215247e-01
5.24039322e-04, 9.20553971e-03, -5.23245513e-01
4.19815740e-04, 9.11928155e-03, -5.23335397e-01
5.11567516e-04, 9.03638825e-03, -5.23226619e-01
6.05328707e-04, 8.95609241e-03, -5.23130774e-01
6.21562358e-04, 9.11955349e-03, -5.23142099e-01
7.56437657e-04, 8.05631932e-03, -5.22725105e-01
8.78111052e-04, 8.13075434e-03, -5.22650957e-01
7.97829067e-04, 8.22053198e-03, -5.22750914e-01
1.00111042e-03, 8.18989612e-03, -5.22580862e-01
9.13853466e-04, 8.28655157e-03, -5.22682548e-01
7.68415688e-04, 8.62347241e-03, -5.22915244e-01
8.88635521e-04, 8.69029202e-03, -5.22844732e-01
7.98399618e-04, 8.78130551e-03, -5.22943437e-01
1.00932771e-03, 8.75263102e-03, -5.22775829e-01
9.20075749e-04, 8.84800777e-03, -5.22870839e-01
3.11160693e-04, 7.73873366e-03, -5.23029208e-01
2.83523899e-04, 7.58245820e-03, -5.22999883e-01
3.89995199e-04, 7.66052445e-03, -5.22916198e-01
4.23777092e-04, 7.82260951e-03, -5.22945404e-01
3.40683764e-04, 7.89391901e-03, -5.23055136e-01
1.16838410e-03, 7.06758443e-03, -5.21789074e-01
1.31866336e-03, 7.12304702e-03, -5.21741688e-01
1.23843679e-03, 7.20040547e-03, -5.21853209e-01
1.01934583e-03, 7.00817537e-03, -5.21848917e-01
1.08822878e-03, 7.14252703e-03, -5.21909952e-01
1.18644896e-03, 6.86156517e-03, -5.21602809e-01
1.04542531e-03, 6.78307144e-03, -5.21633089e-01
1.14621513e-03, 6.76082820e-03, -5.21544337e-01
2.74268631e-03, 4.52351384e-03, -5.24346769e-01
2.60676071e-03, 4.46904078e-03, -5.24388254e-01
