[Data],,
X [ m ], Y [ m ], Z [ m ]
0.0340307020 ,-0.0165799558 ,-0.4827019870 
0.0339858308 ,-0.0164206196 ,-0.4826506970 
0.0344205312 ,-0.0155899329 ,-0.4864976700 
0.0343543068 ,-0.0156598091 ,-0.4866280850 
0.0342670120 ,-0.0155385965 ,-0.4865469040 
0.0344928689 ,-0.0155214826 ,-0.4863619210 
0.0343311578 ,-0.0154678347 ,-0.4864184260 
0.0333067738 ,-0.0152975805 ,-0.4851128760 
0.0333353430 ,-0.0152906757 ,-0.4849406180 
0.0334599316 ,-0.0152030280 ,-0.4850414100 
0.0333976410 ,-0.0152281225 ,-0.4852140840 
0.0332693607 ,-0.0153077571 ,-0.4853031930 
0.0333419591 ,-0.0156753883 ,-0.4837294520 
0.0333901048 ,-0.0155234830 ,-0.4837845860 
0.0332958512 ,-0.0156282615 ,-0.4838829930 
0.0333132669 ,-0.0158313736 ,-0.4836799500 
0.0332610719 ,-0.0157813970 ,-0.4838264580 
0.0340765901 ,-0.0153040132 ,-0.4828696850 
0.0340940729 ,-0.0154040670 ,-0.4827275570 
0.0341684408 ,-0.0151562151 ,-0.4829574820 
0.0341799781 ,-0.0152567364 ,-0.4827846590 
0.0338586643 ,-0.0167774148 ,-0.4832737740 
0.0338972807 ,-0.0167352501 ,-0.4831230640 
0.0337796733 ,-0.0166511666 ,-0.4832017720 
0.0336708650 ,-0.0165628120 ,-0.4832793180 
0.0337399319 ,-0.0166993886 ,-0.4833464030 
0.0331912860 ,-0.0166458637 ,-0.4843421880 
0.0332288370 ,-0.0166028701 ,-0.4841892120 
0.0331312865 ,-0.0165042859 ,-0.4842859510 
0.0332698785 ,-0.0165585615 ,-0.4840447310 
0.0331745259 ,-0.0164605100 ,-0.4841361340 
0.0335832126 ,-0.0171880424 ,-0.4865211550 
0.0334798582 ,-0.0171726774 ,-0.4864035250 
0.0334388241 ,-0.0171842054 ,-0.4865790900 
0.0335729159 ,-0.0171946585 ,-0.4866786900 
0.0337433740 ,-0.0171776060 ,-0.4865669310 
0.0330564380 ,-0.0167976245 ,-0.4851611550 
0.0330384821 ,-0.0168142430 ,-0.4853267970 
0.0331482999 ,-0.0169060901 ,-0.4852386120 
0.0330802351 ,-0.0167759731 ,-0.4849961400 
0.0331716463 ,-0.0168922935 ,-0.4850780670 
0.0328360759 ,-0.0161733478 ,-0.4852592950 
0.0328577422 ,-0.0162720717 ,-0.4851207140 
0.0328609496 ,-0.0161202289 ,-0.4850991670 
0.0328344554 ,-0.0160664618 ,-0.4853669110 
0.0328528024 ,-0.0160386618 ,-0.4852276440 
0.0328131728 ,-0.0160874575 ,-0.4855455760 
0.0328500494 ,-0.0159268919 ,-0.4854754210 
0.0328271389 ,-0.0159265585 ,-0.4856875540 
0.0327936634 ,-0.0161202811 ,-0.4857151810 
0.0328053460 ,-0.0162666589 ,-0.4855989520 
0.0338834859 ,-0.0172191598 ,-0.4854563470 
0.0338037834 ,-0.0172086153 ,-0.4856050010 
0.0339941978 ,-0.0172259230 ,-0.4856534300 
0.0339583866 ,-0.0172254443 ,-0.4852300580 
0.0340743661 ,-0.0172322858 ,-0.4853894410 
0.0347740650 ,-0.0171082318 ,-0.4854809940 
0.0346434638 ,-0.0171720870 ,-0.4853743910 
0.0346254930 ,-0.0171538331 ,-0.4855630700 
0.0349129215 ,-0.0170405935 ,-0.4854149220 
0.0347969905 ,-0.0171275437 ,-0.4853129390 
0.0346153453 ,-0.0169164333 ,-0.4862661660 
0.0346846357 ,-0.0167810638 ,-0.4863422510 
0.0327357687 ,-0.0164240506 ,-0.4866120220 
0.0327753052 ,-0.0165432524 ,-0.4864859280 
0.0327727795 ,-0.0163841899 ,-0.4864106770 
0.0326819271 ,-0.0164904539 ,-0.4867997770 
0.0327301957 ,-0.0165888630 ,-0.4866552350 
0.0329771265 ,-0.0168962199 ,-0.4863790870 
0.0329443961 ,-0.0169245396 ,-0.4865324200 
0.0330695398 ,-0.0170012861 ,-0.4864588980 
0.0332003124 ,-0.0170713831 ,-0.4863864780 
0.0330931768 ,-0.0169799011 ,-0.4862962960 
0.0327968374 ,-0.0166972894 ,-0.4865426420 
0.0328287855 ,-0.0166604109 ,-0.4863940780 
0.0327577330 ,-0.0167459305 ,-0.4866819980 
0.0329715833 ,-0.0158073604 ,-0.4868406060 
0.0329376981 ,-0.0157785378 ,-0.4866867660 
0.0330656245 ,-0.0156998392 ,-0.4867539410 
0.0330218412 ,-0.0158578996 ,-0.4869835670 
0.0331107825 ,-0.0157456696 ,-0.4869034290 
0.0329408422 ,-0.0159801524 ,-0.4870561960 
0.0329919346 ,-0.0160337314 ,-0.4872063990 
0.0328675248 ,-0.0161035974 ,-0.4871262310 
0.0328958742 ,-0.0159315299 ,-0.4869037570 
0.0328369848 ,-0.0160609670 ,-0.4869642560 
0.0342108682 ,-0.0168865081 ,-0.4868198340 
0.0341607444 ,-0.0168177616 ,-0.4869536460 
0.0342771411 ,-0.0167502612 ,-0.4868862330 
0.0340983570 ,-0.0167410541 ,-0.4870844780 
0.0342117921 ,-0.0166712198 ,-0.4870087500 
0.0288946480 ,-0.0284669455 ,-0.4820770030 
0.0290154312 ,-0.0284808837 ,-0.4819794600 
